president,year,total_words,date,time (in mins)
Manuel L. Quezon,1935,4341,25-Nov-35,
Manuel L. Quezon,1936,7250,16-Jun-36,
Manuel L. Quezon,1937,5774,18-Oct-37,
Manuel L. Quezon,1938,3212,24-Jan-38,
Manuel L. Quezon,1939,4826,24-Jan-39,
Manuel L. Quezon,1940,5838,22-Jan-40,
Manuel L. Quezon,1941,10037,31-Jan-41,
Sergio Osmena,1945,4557,9-Jun-45,
Manuel Roxas,1946,11519,3-Jun-46,
Manuel Roxas,1947,12660,27-Jan-47,
Manuel Roxas,1948,10155,26-Jan-48,
Elpidio Quirino,1949,6111,24-Jan-49,
Elpidio Quirino,1950,2495,23-Jan-50,
Elpidio Quirino,1951,3503,22-Jan-51,
Elpidio Quirino,1952,6793,28-Jan-52,
Elpidio Quirino,1953,7145,26-Jan-53,
Ramon Magsaysay,1954,3395,25-Jan-54,
Ramon Magsaysay,1955,6484,24-Jan-55,
Ramon Magsaysay,1956,4601,23-Jan-56,
Ramon Magsaysay,1957,6629,28-Jan-57,
Carlos P. Garcia,1958,8855,27-Jan-58,
Carlos P. Garcia,1959,9394,26-Jan-59,
Carlos P. Garcia,1960,6771,25-Jan-60,
Carlos P. Garcia,1961,8155,23-Jan-61,
Diosdado Macapagal,1962,8662,22-Jan-62,
Diosdado Macapagal,1963,13394,28-Jan-63,
Diosdado Macapagal,1964,2832,27-Jan-64,
Diosdado Macapagal,1965,13118,25-Jan-65,
Ferdinand E. Marcos,1966,5548,24-Jan-66,
Ferdinand E. Marcos,1967,14456,23-Jan-67,
Ferdinand E. Marcos,1968,18164,22-Jan-68,
Ferdinand E. Marcos,1969,30133,27-Jan-69,
Ferdinand E. Marcos,1970,21337,26-Jan-70,
Ferdinand E. Marcos,1971,15091,25-Jan-71,
Ferdinand E. Marcos,1972,23991,24-Jan-72,
Ferdinand E. Marcos,1973,5825,21-Sep-73,
Ferdinand E. Marcos,1974,9136,21-Sep-74,
Ferdinand E. Marcos,1975,6099,19-Sep-75,
Ferdinand E. Marcos,1976,7458,21-Sep-76,
Ferdinand E. Marcos,1977,5723,21-Sep-77,
Ferdinand E. Marcos,1978,9174,12-Jun-78,
Ferdinand E. Marcos,1979,7654,23-Jul-79,
Ferdinand E. Marcos,1980,5184,28-Jul-80,
Ferdinand E. Marcos,1981,5688,27-Jul-81,
Ferdinand E. Marcos,1982,5065,26-Jul-82,
Ferdinand E. Marcos,1983,6302,17-Jan-83,
Ferdinand E. Marcos,1984,4558,23-Jul-84,
Ferdinand E. Marcos,1985,7681,22-Jul-85,
Corazon C. Aquino,1987,3401,27-Jul-87,34
Corazon C. Aquino,1988,4052,25-Jul-88,
Corazon C. Aquino,1989,3586,24-Jul-89,
Corazon C. Aquino,1990,6164,23-Jul-90,
Corazon C. Aquino,1991,4001,22-Jul-91,
Fidel V. Ramos,1992,4537,27-Jul-92,
Fidel V. Ramos,1993,5422,26-Jul-93,
Fidel V. Ramos,1994,4921,25-Jul-94,
Fidel V. Ramos,1995,4412,24-Jul-95,
Fidel V. Ramos,1996,5023,22-Jul-96,
Fidel V. Ramos,1997,6129,28-Jul-97,64
Joseph Ejercito Estrada,1998,3981,27-Jul-98,45
Joseph Ejercito Estrada,1999,6220,26-Jul-99,53
Joseph Ejercito Estrada,2000,6276,24-Jul-00,72
Gloria Macapagal-Arroyo,2001,5504,23-Jul-01,66
Gloria Macapagal-Arroyo,2002,4519,22-Jul-02,53
Gloria Macapagal-Arroyo,2003,3306,28-Jul-03,42
Gloria Macapagal-Arroyo,2004,2722,26-Jul-04,38
Gloria Macapagal-Arroyo,2005,1590,25-Jul-05,26
Gloria Macapagal-Arroyo,2006,4266,24-Jul-06,63
Gloria Macapagal-Arroyo,2007,4792,23-Jul-07,59
Gloria Macapagal-Arroyo,2008,4687,28-Jul-08,56
Gloria Macapagal-Arroyo,2009,4533,27-Jul-09,66
Benigno S. Aquino III,2010,3828,26-Jul-10,36
Benigno S. Aquino III,2011,6217,25-Jul-11,53
Benigno S. Aquino III,2012,9515,23-Jul-12,87
Benigno S. Aquino III,2013,12890,22-Jul-13,104
Benigno S. Aquino III,2014,10234,28-Jul-14,90
Benigno S. Aquino III,2015,14943,27-Jul-15,73
Rodrigo Roa Duterte,2016,9306,25-Jul-16,82
Rodrigo Roa Duterte,2017,12712,24-Jul-17,120
Rodrigo Roa Duterte,2018,4832,23-Jul-18,48
Rodrigo Roa Duterte,2019,9537,22-Jul-19,93
Rodrigo Roa Duterte,2020,8763,27-Jul-20,101
Rodrigo Roa Duterte,2021,14768,26-Jul-21,165
Ferdinand R. Marcos Jr.,2022,7990,25-Jul-22,74
Ferdinand R. Marcos Jr.,2023,7647,25-Jul-23,
Average,,7647,,
,,,,
,,,,
Average post-Marcos,,6377,,
Average pre-Marcos,,7090,,
