,count_0,count_1,log_prob_0,log_prob_1
aabot,0.0,15.0,-33.3044818307122,-8.467834865872671
aaral,0.0,33.0,-33.3044818307122,-7.679377505512038
abaca,8.0,0.0,-8.199189359079407,-34.201735996922004
abandon,2.0,4.0,-9.585483720161799,-9.789590705836657
abiding,3.0,4.0,-9.1800186120703,-9.789590705836657
ability,13.0,20.0,-7.713681543302513,-8.180152793422558
abolish,3.0,4.0,-9.1800186120703,-9.789590705836657
abolished,2.0,3.0,-9.585483720161799,-10.077272778280106
abot,0.0,21.0,-33.3044818307122,-8.131362629253363
abril,0.0,14.0,-33.3044818307122,-8.536827737359147
absentee,3.0,3.0,-9.1800186120703,-10.077272778280106
abu,0.0,10.0,-33.3044818307122,-8.873299973977502
abuse,4.0,8.0,-8.892336539626852,-9.096443525289212
abuses,0.0,8.0,-33.3044818307122,-9.096443525289212
academy,0.0,7.0,-33.3044818307122,-9.22997491791195
accelerate,16.0,13.0,-7.506042178525712,-8.610935709512319
accelerated,14.0,5.0,-7.6395735711493415,-9.566447154527449
accelerating,3.0,7.0,-9.1800186120703,-9.22997491791195
accept,5.0,12.0,-8.669192988317644,-8.690978417185214
acceptable,1.0,7.0,-10.278630900671743,-9.22997491791195
acceptance,3.0,3.0,-9.1800186120703,-10.077272778280106
accepted,6.0,5.0,-8.486871431527021,-9.566447154527449
access,2.0,54.0,-9.585483720161799,-7.186901020415422
accessible,3.0,8.0,-9.1800186120703,-9.096443525289212
accommodation,1.0,4.0,-10.278630900671743,-9.789590705836657
accomplish,7.0,7.0,-8.332720751702144,-9.22997491791195
accomplished,6.0,4.0,-8.486871431527021,-9.789590705836657
accomplishment,5.0,3.0,-8.669192988317644,-10.077272778280106
accomplishments,5.0,14.0,-8.669192988317644,-8.536827737359147
accord,3.0,5.0,-9.1800186120703,-9.566447154527449
account,6.0,9.0,-8.486871431527021,-8.978660489634217
accountability,0.0,10.0,-33.3044818307122,-8.873299973977502
accountable,0.0,5.0,-33.3044818307122,-9.566447154527449
